combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
27,1,0.2606,0.1848,0.3515,0.2151,0.5188,0.2592,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
27,2,0.2542,0.1817,0.3519,0.2144,0.5186,0.2584,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
27,3,0.2496,0.1781,0.3404,0.2085,0.4936,0.2492,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
27,4,0.2643,0.1874,0.3622,0.22,0.5219,0.2625,32,64,1,0.1,0.5,0.005,0.0001,200,128,0.1,10,10,5,0.0001
28,0,0.3303,0.2363,0.4575,0.278,0.6338,0.325,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,1,0.3224,0.2326,0.4495,0.275,0.6337,0.3244,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,2,0.3136,0.2244,0.4277,0.2627,0.6114,0.3116,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,3,0.3264,0.2336,0.4503,0.2752,0.6233,0.3217,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
28,4,0.3111,0.2224,0.4365,0.2641,0.6223,0.3137,64,128,6,0.5,0.5,0.005,0.0001,1000,128,0.1,0,50,10,0.001
29,0,0.2986,0.2092,0.4028,0.2442,0.5724,0.2893,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,1,0.2985,0.2121,0.4046,0.2478,0.5751,0.2933,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,2,0.3051,0.2174,0.4181,0.2552,0.599,0.3033,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,3,0.2968,0.2093,0.4054,0.2456,0.5692,0.2893,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
29,4,0.2899,0.2083,0.3944,0.2432,0.5701,0.2897,32,32,4,0.1,0.5,0.001,0.0001,1000,128,0.1,0,50,5,0.0001
30,0,0.3345,0.2384,0.4638,0.2812,0.6487,0.3306,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,1,0.3361,0.2407,0.466,0.2844,0.6482,0.3332,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,2,0.3336,0.2387,0.4553,0.2799,0.6439,0.3302,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,3,0.3389,0.2418,0.4646,0.2841,0.646,0.3326,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
30,4,0.3206,0.2331,0.4454,0.2754,0.6374,0.3266,64,64,3,0.5,0.1,0.005,0.0001,700,64,0.0,10,10,5,0.0001
31,0,0.35,0.2495,0.4764,0.2913,0.6618,0.3407,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,1,0.3333,0.2386,0.4626,0.282,0.6469,0.3313,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,2,0.3328,0.2366,0.4509,0.2765,0.6446,0.328,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,3,0.3357,0.2404,0.4553,0.2807,0.6443,0.3314,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
31,4,0.3342,0.2406,0.4593,0.2823,0.6383,0.3303,128,128,4,0.5,0.1,0.005,0.0001,600,64,0.1,0,50,5,0.001
32,0,0.1504,0.1001,0.2216,0.1231,0.3425,0.154,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
32,1,0.1494,0.0973,0.2138,0.1182,0.335,0.1498,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
