combo_id,fold,val_auc,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
46,4,0.8055,64,3,0.3,0.5,0.001,0.001,500,64,0.0,0
47,0,0.7698,128,2,0.3,0.7,0.005,0.001,100,64,0.1,0
47,1,0.7555,128,2,0.3,0.7,0.005,0.001,100,64,0.1,0
47,2,0.8111,128,2,0.3,0.7,0.005,0.001,100,64,0.1,0
47,3,0.7888,128,2,0.3,0.7,0.005,0.001,100,64,0.1,0
47,4,0.7907,128,2,0.3,0.7,0.005,0.001,100,64,0.1,0
48,0,0.7727,128,4,0.5,0.3,0.005,0.0001,100,64,0.0,10
48,1,0.7442,128,4,0.5,0.3,0.005,0.0001,100,64,0.0,10
48,2,0.7325,128,4,0.5,0.3,0.005,0.0001,100,64,0.0,10
48,3,0.7682,128,4,0.5,0.3,0.005,0.0001,100,64,0.0,10
48,4,0.7656,128,4,0.5,0.3,0.005,0.0001,100,64,0.0,10
49,0,0.7772,128,4,0.3,0.7,0.005,0.001,500,128,0.1,10
49,1,0.7589,128,4,0.3,0.7,0.005,0.001,500,128,0.1,10
49,2,0.8279,128,4,0.3,0.7,0.005,0.001,500,128,0.1,10
49,3,0.775,128,4,0.3,0.7,0.005,0.001,500,128,0.1,10
49,4,0.7621,128,4,0.3,0.7,0.005,0.001,500,128,0.1,10
50,0,0.7456,256,2,0.5,0.5,0.005,0.001,300,128,0.1,10
50,1,0.7514,256,2,0.5,0.5,0.005,0.001,300,128,0.1,10
50,2,0.7467,256,2,0.5,0.5,0.005,0.001,300,128,0.1,10
50,3,0.7619,256,2,0.5,0.5,0.005,0.001,300,128,0.1,10
50,4,0.749,256,2,0.5,0.5,0.005,0.001,300,128,0.1,10
51,0,0.8643,128,3,0.3,0.5,0.001,0.0001,300,64,0.0,10
51,1,0.8087,128,3,0.3,0.5,0.001,0.0001,300,64,0.0,10
51,2,0.8667,128,3,0.3,0.5,0.001,0.0001,300,64,0.0,10
51,3,0.8361,128,3,0.3,0.5,0.001,0.0001,300,64,0.0,10
51,4,0.8335,128,3,0.3,0.5,0.001,0.0001,300,64,0.0,10
52,0,0.7818,128,3,0.3,0.5,0.005,0.0001,300,128,0.1,0
52,1,0.7727,128,3,0.3,0.5,0.005,0.0001,300,128,0.1,0
52,2,0.7961,128,3,0.3,0.5,0.005,0.0001,300,128,0.1,0
52,3,0.7659,128,3,0.3,0.5,0.005,0.0001,300,128,0.1,0
52,4,0.7924,128,3,0.3,0.5,0.005,0.0001,300,128,0.1,0
53,0,0.8229,256,3,0.5,0.3,0.001,0.001,700,64,0.0,0
53,1,0.7729,256,3,0.5,0.3,0.001,0.001,700,64,0.0,0
53,2,0.8082,256,3,0.5,0.3,0.001,0.001,700,64,0.0,0
53,3,0.7661,256,3,0.5,0.3,0.001,0.001,700,64,0.0,0
53,4,0.8364,256,3,0.5,0.3,0.001,0.001,700,64,0.0,0
54,0,0.7747,256,1,0.5,0.7,0.001,0.0001,300,64,0.0,0
54,1,0.7862,256,1,0.5,0.7,0.001,0.0001,300,64,0.0,0
54,2,0.7574,256,1,0.5,0.7,0.001,0.0001,300,64,0.0,0
54,3,0.7685,256,1,0.5,0.7,0.001,0.0001,300,64,0.0,0
