combo_id,fold,val_nmi,hp_d,hp_K,hp_dropout,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_cl_loss,hp_cl_temp
59,2,0.0337,64,4,0.3,0.005,0.0001,700,64,contrastive,0.1
59,3,0.089,64,4,0.3,0.005,0.0001,700,64,contrastive,0.1
59,4,0.0691,64,4,0.3,0.005,0.0001,700,64,contrastive,0.1
60,0,0.0996,64,6,0.3,0.005,0.0001,500,64,reconstruction,0.1
60,1,0.0139,64,6,0.3,0.005,0.0001,500,64,reconstruction,0.1
60,2,0.0959,64,6,0.3,0.005,0.0001,500,64,reconstruction,0.1
60,3,0.0271,64,6,0.3,0.005,0.0001,500,64,reconstruction,0.1
60,4,0.0324,64,6,0.3,0.005,0.0001,500,64,reconstruction,0.1
61,0,0.1411,128,3,0.3,0.005,0.0001,300,64,contrastive,0.5
61,1,0.0327,128,3,0.3,0.005,0.0001,300,64,contrastive,0.5
61,2,0.0728,128,3,0.3,0.005,0.0001,300,64,contrastive,0.5
61,3,0.063,128,3,0.3,0.005,0.0001,300,64,contrastive,0.5
61,4,0.1173,128,3,0.3,0.005,0.0001,300,64,contrastive,0.5
62,0,0.0529,64,2,0.3,0.005,0.001,500,128,contrastive,0.5
62,1,0.0495,64,2,0.3,0.005,0.001,500,128,contrastive,0.5
62,2,0.0255,64,2,0.3,0.005,0.001,500,128,contrastive,0.5
62,3,0.1049,64,2,0.3,0.005,0.001,500,128,contrastive,0.5
62,4,0.0506,64,2,0.3,0.005,0.001,500,128,contrastive,0.5
63,0,0.1252,256,3,0.5,0.001,0.001,500,64,contrastive,0.5
63,1,0.144,256,3,0.5,0.001,0.001,500,64,contrastive,0.5
63,2,0.1208,256,3,0.5,0.001,0.001,500,64,contrastive,0.5
63,3,0.038,256,3,0.5,0.001,0.001,500,64,contrastive,0.5
63,4,0.0368,256,3,0.5,0.001,0.001,500,64,contrastive,0.5
64,0,0.1782,256,4,0.5,0.001,0.0001,300,128,contrastive,0.1
64,1,0.2017,256,4,0.5,0.001,0.0001,300,128,contrastive,0.1
64,2,0.2039,256,4,0.5,0.001,0.0001,300,128,contrastive,0.1
64,3,0.1383,256,4,0.5,0.001,0.0001,300,128,contrastive,0.1
64,4,0.1361,256,4,0.5,0.001,0.0001,300,128,contrastive,0.1
65,0,0.0681,128,6,0.5,0.001,0.0001,100,128,contrastive,0.5
65,1,0.0216,128,6,0.5,0.001,0.0001,100,128,contrastive,0.5
65,2,0.0401,128,6,0.5,0.001,0.0001,100,128,contrastive,0.5
65,3,0.069,128,6,0.5,0.001,0.0001,100,128,contrastive,0.5
65,4,0.1846,128,6,0.5,0.001,0.0001,100,128,contrastive,0.5
66,0,0.0435,128,5,0.3,0.001,0.0001,700,64,contrastive,0.5
66,1,0.1441,128,5,0.3,0.001,0.0001,700,64,contrastive,0.5
66,2,0.0191,128,5,0.3,0.001,0.0001,700,64,contrastive,0.5
66,3,0.059,128,5,0.3,0.001,0.0001,700,64,contrastive,0.5
66,4,0.0712,128,5,0.3,0.001,0.0001,700,64,contrastive,0.5
67,0,0.1857,256,2,0.5,0.005,0.001,700,128,contrastive,0.1
67,1,0.2703,256,2,0.5,0.005,0.001,700,128,contrastive,0.1
67,2,0.157,256,2,0.5,0.005,0.001,700,128,contrastive,0.1
67,3,0.0435,256,2,0.5,0.005,0.001,700,128,contrastive,0.1
67,4,0.2099,256,2,0.5,0.005,0.001,700,128,contrastive,0.1
68,0,0.0872,256,2,0.3,0.005,0.001,700,64,contrastive,0.5
68,1,0.0418,256,2,0.3,0.005,0.001,700,64,contrastive,0.5
68,2,0.0981,256,2,0.3,0.005,0.001,700,64,contrastive,0.5
68,3,0.0253,256,2,0.3,0.005,0.001,700,64,contrastive,0.5
68,4,0.0505,256,2,0.3,0.005,0.001,700,64,contrastive,0.5
69,0,0.0625,256,4,0.3,0.001,0.0001,700,64,reconstruction,0.1
69,1,0.0403,256,4,0.3,0.001,0.0001,700,64,reconstruction,0.1
69,2,0.0435,256,4,0.3,0.001,0.0001,700,64,reconstruction,0.1
69,3,0.1436,256,4,0.3,0.001,0.0001,700,64,reconstruction,0.1
69,4,0.087,256,4,0.3,0.001,0.0001,700,64,reconstruction,0.1
70,0,0.1173,128,2,0.3,0.005,0.0001,100,128,reconstruction,0.1
70,1,0.0813,128,2,0.3,0.005,0.0001,100,128,reconstruction,0.1
