combo_id,fold,val_f1,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
28,0,0.6583,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,1,0.5052,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,2,0.6039,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,3,0.6355,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
28,4,0.5497,64,128,3,0.5,0.1,0.005,0.0001,300,32,0.0,10
29,0,0.683,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,1,0.6617,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,2,0.4138,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,3,0.6817,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
29,4,0.6426,32,64,4,0.1,0.1,0.001,0.0001,700,64,0.0,10
30,0,0.5692,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,1,0.6438,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,2,0.6649,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,3,0.6752,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
30,4,0.6197,32,32,3,0.1,0.1,0.001,0.0001,600,128,0.1,0
31,0,0.7203,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,1,0.7339,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,2,0.7711,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,3,0.6915,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
31,4,0.7129,128,128,6,0.1,0.5,0.005,0.0001,1000,128,0.1,0
32,0,0.6785,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
32,1,0.6712,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
32,2,0.54,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
32,3,0.7174,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
32,4,0.6358,64,32,3,0.1,0.5,0.001,0.0001,200,64,0.1,10
33,0,0.6317,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
33,1,0.6026,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
33,2,0.4854,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
33,3,0.6668,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
33,4,0.588,64,32,2,0.1,0.1,0.005,0.0001,600,64,0.1,10
34,0,0.4822,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,1,0.3679,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,2,0.1436,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,3,0.4961,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
34,4,0.4786,32,64,6,0.5,0.5,0.005,0.0001,1000,64,0.1,0
35,0,0.7344,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,1,0.7392,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,2,0.6749,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,3,0.4644,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
35,4,0.7113,64,64,4,0.1,0.1,0.005,0.0001,1000,128,0.0,10
36,0,0.338,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
36,1,0.6718,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
36,2,0.645,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
36,3,0.5044,64,64,3,0.5,0.5,0.005,0.0001,700,32,0.0,10
