combo_id,fold,val_recall@10,val_ndcg@10,val_recall@20,val_ndcg@20,val_recall@50,val_ndcg@50,hp_d,hp_d_prime,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup,hp_K_rec,hp_neg_ratio,hp_bpr_reg
32,1,0.0972,0.102,0.1479,0.1244,0.2356,0.1586,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
32,2,0.1033,0.1101,0.1532,0.132,0.2383,0.1655,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
32,3,0.1102,0.1157,0.1612,0.1384,0.2609,0.1777,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
32,4,0.1026,0.1086,0.1508,0.13,0.2334,0.1629,64,32,4,0.5,0.1,0.001,0.0001,200,64,0.1,0,20,10,0.001
33,0,0.1373,0.1443,0.2029,0.1741,0.3143,0.218,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,1,0.139,0.1441,0.2091,0.1755,0.3234,0.2201,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,2,0.1316,0.1406,0.1955,0.1693,0.3076,0.2136,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,3,0.147,0.1547,0.2171,0.1863,0.3348,0.2325,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
33,4,0.1337,0.1408,0.1976,0.1698,0.3107,0.2147,64,128,3,0.1,0.1,0.001,0.0001,700,32,0.0,10,10,10,0.001
34,0,0.1277,0.1367,0.1909,0.1655,0.2979,0.2078,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,1,0.1245,0.1291,0.1874,0.1573,0.298,0.2003,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,2,0.1249,0.1338,0.184,0.1601,0.2889,0.2016,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,3,0.1287,0.1358,0.1906,0.1637,0.3053,0.2089,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
34,4,0.1259,0.1338,0.1853,0.1608,0.2935,0.2035,128,32,3,0.5,0.1,0.001,0.0001,500,128,0.0,0,50,5,0.001
35,0,0.1329,0.1398,0.2011,0.1712,0.3156,0.2164,128,128,2,0.5,0.5,0.001,0.0001,1000,128,0.0,10,50,10,0.0001
